publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2019-10-07,1tJSOHUXmKs,"Du weißt nicht, wie das Wort in der Welt Realitäten erzeugt",0,0,0,0,0,0,0
2019-10-02,RCrMtmSpSjE,"Wie deine Absichten dich um dein Leben bringen - Intention, the most powerful tool of creation",0,0,0,0,0,0,0
2019-09-28,LeyoYbMio8E,Fight Maschine,0,0,0,0,0,0,0
2019-09-27,ryH9HCDk5fI,Familie,0,0,0,0,0,0,0
2019-09-27,fk_zRZlO7ZY,ɡɛlt,0,0,0,0,0,0,0
2019-09-25,huvdBpVcMa4,"Die Bautenzug Verschwörung, die Stasi ermittelt",0,0,0,0,0,0,0
2019-09-25,I6v1fRa_ci8,"Das menschliche Versagen.Wir sprechen die selbe Sprache, doch verstehen tun wir uns nicht.",0,0,0,0,0,0,0
2019-09-23,iVid7dIc43s,"bist Du? ja, ich bin.",0,0,0,0,0,0,0
2019-09-23,fNImETBtLdc,"Reden ist Silber, Schweigen ist Gold",0,0,0,0,0,0,0
2019-09-22,75y2zALDz5I,Kein Mensch ist absichtlich Böse es fehlt ihm nur das richtige Verstehen,0,0,0,0,0,0,0
2019-09-18,bFacicUlU6E,Individualismus leben: Hast du Angst aus der Reihe zu tanzen?,0,0,0,0,0,0,0
2019-09-17,HbpJD4rGuJg,Wenn die Angst Dich lähmt ..,0,0,0,0,0,0,0
2019-09-11,-VisAS3x1xE,Die Renaissance der Liebe,0,0,0,0,0,0,0
2019-09-10,wHRmhoIcRVA,"Wer die Freiheit aufgibt, um Sicherheit zu gewinnen, wird am Ende beides verlieren",0,0,0,0,0,0,0
2019-09-09,y6KTfAUMQII,mit den Ereignissen 08092019,0,0,0,0,0,0,0
2019-09-08,tXtMJ1L69Wc,Ein Stück Freiheit,0,0,0,0,0,0,0
2019-09-01,hrnWdl1Cths,Jetzt oder Nie,0,0,0,0,0,0,0
2019-09-01,e_TfkPlmiVw,"Irren ist menschlich, aber auf Irrtümern zu bestehen ist teuflisch.",0,0,0,0,0,0,0
2019-08-28,uUoTiSKX2_Q,vertrauensvoll authentich,0,0,0,0,0,0,0
2019-08-27,AULGD3rloVQ,"verschollen: Ihr seit nicht meine Eltern, aber ich liebe euch",0,0,0,0,0,0,0
2019-08-25,jVS00MR7fFM,Jeder Moment ist eine Chance zu verstehen wer Du bist und wer Du nicht bist.,0,0,0,0,0,0,0
2019-08-25,E-9hP5rfzmw,Wenn Du wüsstest ..,0,0,0,0,0,0,0
2019-08-22,BB-UwHnDToE,Leben ist ..,0,0,0,0,0,0,0
2019-08-17,86zRqTVl0s0,"Ich kann, weil Ich will, was Ich muss?",0,0,0,0,0,0,0
2019-08-16,6seTvkkvfyw,cash cow part3,0,0,0,0,0,0,0
2019-08-13,Bjmmpr9klAo,sanfte Grüsse aus der Wirklichkeit,0,0,0,0,0,0,0
2019-08-13,FlPGHidoi6k,Das gilt auch für Dich - Fremdsteuerung Mensch,0,0,0,0,0,0,0
2019-08-09,qMLRthPjRaw,Wer kämpft kann verlieren. Wer nicht kämpft hat schon verloren. (Bertolt Brecht),0,0,0,0,0,0,0
2019-08-02,Vq8g3MdVLrE,kampfkunst - Bruce  Lee - die mittelbare Frequenz,0,0,0,0,0,0,0
2019-08-02,Q8M7PRJ-3pI,cash cow evidence part I,0,0,0,0,0,0,0
2019-08-01,0I2Za_mU1LA,cash cow part2,0,0,0,0,0,0,0
2019-07-31,VZUBycRaaIM,Egal was in diesem Seminar passiert  bleib bei Dir,0,0,0,0,0,0,0
2019-07-31,sD0z1FYDdTM,"space time continuum, before christi",0,0,0,0,0,0,0
2019-07-27,nWp91wNOf9Y,Ein Moment der Wahrheit,0,0,0,0,0,0,0
2019-07-20,IXWstRJOFCs,Einen Moment der Schwäche,0,0,0,0,0,0,0
2019-07-17,5ZKXoISaSio,der tod ist nicht die lösung.sterben nur eine illusion,0,0,0,0,0,0,0
2019-07-13,ZyUl31dyaD0,Das Seminar der anderen Art,0,0,0,0,0,0,0
2019-07-08,TGHwdp1u_sk,Raum - Zeit - Kontinuum,0,0,0,0,0,0,0
2019-06-27,1r3oHM73L3o,Franz der Große - Ein Krieg den es nie gegeben hat.,0,0,0,0,0,0,0
2019-06-26,BfvsDd-ia5Q,"Das ist die Gerechtigkeit, Das ist die Wahrhaftigkeit von UBC",0,0,0,0,0,0,0
2019-06-24,o0UWH_uiXQk,Ihre grösste Hoffnung wird ihre Verdammnis sein,0,0,0,0,0,0,0
2019-06-23,8o5Yji8zXMg,Ewiges Leben : Bestehen in vielen Realitäten,0,0,0,0,0,0,0
2019-06-22,GmWIL2fbll8,Mossad sucht Mich,0,0,0,0,0,0,0
2019-06-18,1cN29Vo7DbM,Wenn die Matrix einmal klingelt - Riemenriss und Achsenbruch,0,0,0,0,0,0,0
2019-06-15,19TUApPtUqI,Thomas Veit Fernstudium,0,0,0,0,0,0,0
2019-06-10,TPDRTn-pC58,live vor Ort Das Camp Wissen schlägt Unwissen,0,0,0,0,0,0,0
2019-06-06,Arl1_CE_9KU,"Sein Job, Sein Leben - Thomas Veit, hat es nie gegeben",0,0,0,0,0,0,0
2019-06-06,1xP6thtOjfA,Kriegs-Berichts-Erstattung - Sensations-Podcast: abgesagt,0,0,0,0,0,0,0
2019-06-05,TbeF9iHop4Q,Verwahnung aufgehoben - Hassreden am Morgen - Schöne neue Welt,0,0,0,0,0,0,0
2019-05-30,YWE4KkoHs_k,Radioaktiv : Welcome to the New Age,0,0,0,0,0,0,0
2019-05-28,0MYhoqiy0wY,"Das ist die Matrix, et voila",0,0,0,0,0,0,0
2019-05-28,e7jzn1AS_i8,"Final Destination Volvo Crash, Erkan Edit",0,0,0,0,0,0,0
2019-05-27,Eq1oVgqCZZU,"Dinge, die es nicht geben dürfte - Die Welt des Unerklärlichen",0,0,0,0,0,0,0
2019-05-23,q5lbheUXJuI,Schöpferwissen TV auf Nazi Speed,0,0,0,0,0,0,0
2019-05-19,OjR0x4mXZb4,Bist Du spirituell?,0,0,0,0,0,0,0
2019-05-18,s1by_UVFp5I,Halina Ex-Teilnehmerin Seminar berichtet über erneues Treffen mit Thomas und Julia,0,0,0,0,0,0,0
2019-05-17,7kXP1lX1uzI,Schöpferwissen TV - Sektenprogramm?,0,0,0,0,0,0,0
2019-05-16,bKJcT6zg3wQ,disable workshop KK1,0,0,0,0,0,0,0
2019-05-15,UkqL-HrIO7M,Mit der Blödheit im Gefecht,0,0,0,0,0,0,0
2019-05-14,YbY7X2Ml75E,Thomas Veit - glaubst Du das?,0,0,0,0,0,0,0
2019-05-14,EZWwj3k7asc,Kennst Du deine Seele?,0,0,0,0,0,0,0
2019-05-13,Zfdgai2NTy0,Die NWO in Dir,0,0,0,0,0,0,0
2019-05-11,UUfeGO2ENfk,Einzelkampf - Geisteskrank in Thailand,0,0,0,0,0,0,0
2019-05-06,T1gZSci6m6k,Schöpferwissen - Ich zeige Dir wie es geht,0,0,0,0,0,0,0
2019-05-05,yntbTIdr9RU,Sananda - Ein Mann geht seinen Weg,0,0,0,0,0,0,0
2019-04-17,cpcSiAm_U8U,Die Welt ist Gehirn gewaschen Fallbeispiel Synthese,0,0,0,0,0,0,0
2019-04-01,fg0DHdNPSC4,Simulation Seele - Das Geheimnis ewiger Jugend,0,0,0,0,0,0,0
2019-03-30,JPSkvqWxC8c,Was Dir niemand erzählt : Die spirituelle NWO,0,0,0,0,0,0,0
2019-03-28,thDoISZCZqs,Das Heilmittel gegen Dummheit,0,0,0,0,0,0,0
2019-03-27,JCyl72s5XWQ,Ich möchte Ehrlichkeit leben.,0,0,0,0,0,0,0
2019-03-25,QdPU8AXwlH4,Thomas Für Julia,0,0,0,0,0,0,0
2019-03-23,XVVhxU7FPHU,Betrug an der Menschheit - Es geht nicht nur um Geld,0,0,0,0,0,0,0
2019-03-23,uzJOUzyPOFc,"Betrug, Korruption, organisierte Kriminalität - Es geht nur um Geld",0,0,0,0,0,0,0
2019-03-16,Hpd6gDaDZD4,vom Unwissen zum Wissen,0,0,0,0,0,0,0
2019-03-11,D6uQM1GDMCU,Wie bekomme ich einen freien Kopf?,0,0,0,0,0,0,0
